"This is an early release of the final EIA-860 data for calendar year 2018.  The early release is provided for the express purpose of providing immediate access to individual plant and generator data for analysts who use this type of information.  The data has not been fully edited and is inappropriate for aggregation, such as to state or national totals.  Also, in some cases, data for a certain number of plants and generators has been excluded from this early release pending further data validation. Final, complete, and fully-edited data will be released by EIA later in 2019.  Questions or comments regarding this data release should be directed to infoelectric@eia.gov.",,,,,,,,,,,,,
"2018 Form EIA-860 Data - Schedule 4, 'Generator Ownership' (Jointly or Third-Party Owned Only)",,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
195,Alabama Power Co,10,Greene County,AL,1,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,1,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,10,Greene County,AL,2,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,2,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
3265,Cleco Power LLC,51,Dolet Hills,LA,1,OP,Cleco Power LLC,2030 Donahue Ferry RoadP.O. Box 5000,Pineville,LA,71361,3265,0.5
3265,Cleco Power LLC,51,Dolet Hills,LA,1,OP,"Northeast Texas Elec Coop, Inc",1127 Judson Road,Longview,TX,75601,13670,5.8599999999999999E-2
3265,Cleco Power LLC,51,Dolet Hills,LA,1,OP,Oklahoma Municipal Power Authority,P O Box 1960,Edmond,OK,73083,14077,3.9E-2
3265,Cleco Power LLC,51,Dolet Hills,LA,1,OP,Southwestern Electric Power Co,212 E. 6th Street,Tulsa,OK,74119,17698,0.40239999999999998
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Hastings - (NE),1228 North Denver Avenue,Hastings,NE,68902,8245,0.15909999999999999
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Nebraska City,100 Central Ave,Nebraska City,NE,68410,13334,4.5499999999999999E-2
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,Municipal Energy Agency of NE,PO BOX 951241111 O Street Suite 200,Lincoln,NE,68509,21352,0.36359999999999998
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,Heartland Consumers Power Dist,432 SE 12th Street,Madison,SD,57042,40604,0.36359999999999998
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Grand Island - (NE),700 E. Bischeld Street,Grand Island,NE,68802,40606,6.8199999999999997E-2
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,1,OP,Anchorage Municipal Light and Power,1200 East First Avenue,Anchorage,AK,99501,599,0.53300000000000003
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,1,OP,Chugach Electric Assn Inc,P O Box 1963005601 Electron Drive,Anchorage,AK,99519,3522,0.3
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,1,OP,Matanuska Electric Assn Inc,P O Box 2929 163 East Industrial Way,Palmer,AK,99645,11824,0.16700000000000001
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,2,OP,Anchorage Municipal Light and Power,1200 East First Avenue,Anchorage,AK,99501,599,0.53300000000000003
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,2,OP,Chugach Electric Assn Inc,P O Box 1963005601 Electron Drive,Anchorage,AK,99519,3522,0.3
599,Anchorage Municipal Light and Power,77,Eklutna Hydro Project,AK,2,OP,Matanuska Electric Assn Inc,P O Box 2929 163 East Industrial Way,Palmer,AK,99645,11824,0.16700000000000001
213,Alaska Electric Light&Power Co,78,Snettisham,AK,1,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
213,Alaska Electric Light&Power Co,78,Snettisham,AK,2,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
213,Alaska Electric Light&Power Co,78,Snettisham,AK,3,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
803,Arizona Public Service Co,113,Cholla,AZ,4,OP,PacifiCorp,825 NE MultnomahSuite 600,Portland,OR,97232,14354,1
803,Arizona Public Service Co,120,Yucca,AZ,GT21,OP,Imperial Irrigation District,333 East Barioni BoulevardP O Box 937,Imperial,CA,92251,9216,1
803,Arizona Public Service Co,120,Yucca,AZ,ST1,OP,Imperial Irrigation District,333 East Barioni BoulevardP O Box 937,Imperial,CA,92251,9216,1
15474,Public Service Co of Oklahoma,127,Oklaunion,TX,1,OP,Brownsville Public Utilities Board,P.O. Box 3270,Brownsville,TX,78523,2409,0.1797
15474,Public Service Co of Oklahoma,127,Oklaunion,TX,1,OP,Oklahoma Municipal Power Authority,P O Box 1960,Edmond,OK,73083,14077,0.1172
15474,Public Service Co of Oklahoma,127,Oklaunion,TX,1,OP,Public Service Co of Oklahoma,212 E. 6th Street,Tulsa,OK,74119,15474,0.15620000000000001
15474,Public Service Co of Oklahoma,127,Oklaunion,TX,1,OP,AEP Texas North Company,212 E. 6th Street,Tulsa,OK,74119,20404,0.54690000000000005
814,Entergy Arkansas LLC,173,Robert E Ritchie,AR,2,RE,"Entergy Power, LLC",425 West Capitol Avenue,Little Rock,AR,72201,25251,1
9617,JEA,207,St Johns River Power Park,FL,1,RE,Florida Power & Light Co,P O Box 29100,Miami,FL,33102,6452,0
9617,JEA,207,St Johns River Power Park,FL,1,RE,JEA,21 West Church St.,Jacksonville,FL,32202,9617,1
9617,JEA,207,St Johns River Power Park,FL,2,RE,Florida Power & Light Co,P O Box 29100,Miami,FL,33102,6452,0.2
9617,JEA,207,St Johns River Power Park,FL,2,RE,JEA,21 West Church St.,Jacksonville,FL,32202,9617,0.8
20893,Wolf Creek Nuclear Optg Corp,210,Wolf Creek Generating Station,KS,1,OP,Kansas Electric Power Coop Inc,600 SW Corporate View,Topeka,KS,66615,9961,0.06
20893,Wolf Creek Nuclear Optg Corp,210,Wolf Creek Generating Station,KS,1,OP,Kansas City Power & Light Co,1200 Main Street,Kansas City,MO,64105,10000,0.47
20893,Wolf Creek Nuclear Optg Corp,210,Wolf Creek Generating Station,KS,1,OP,Kansas Gas & Electric Co,818 Kansas Avenue,Topeka,KS,66612,10005,0.47
13960,NRG Cabrillo Power Ops Inc,300,Division,CA,DIGT,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,301,El Cajon,CA,ENCI,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,2,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,3,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,4,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,5,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,GT1,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,302,Encina,CA,ST1,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,303,Kearny,CA,KEA1,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,303,Kearny,CA,KEA2,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,303,Kearny,CA,KEA3,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,305,Miramar,CA,MRGT,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,306,Naval Station,CA,NSGT,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,307,North Island,CA,NIG1,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13960,NRG Cabrillo Power Ops Inc,307,North Island,CA,NIG2,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13584,NRG El Segundo Operations Inc,330,El Segundo Power,CA,1,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13584,NRG El Segundo Operations Inc,330,El Segundo Power,CA,2,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13584,NRG El Segundo Operations Inc,330,El Segundo Power,CA,3,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
13584,NRG El Segundo Operations Inc,330,El Segundo Power,CA,4,RE,"NRG Energy, Inc",804 Carnegie Center,Princenton,NJ,8540,13377,1
23693,AES Huntington Beach LLC,335,AES Huntington Beach LLC,CA,3,RE,Edison Mission Energy,2244 WALNUT GROVE AVE,Rosemead,CA,91770,34505,1
